PostalCode,Neighborhood
60601,East Side
60601,South Chicago
60604,The Loop
60605,Central Station
60605,Dearborn Park
60605,Printer's Row
60605,South Loop
60606,Fulton River District
60606,Greektown
60606,Illinois Medical District
60607,Museum Campus
60607,Little Italy
60607,University Village
60608,Chinatown
60608,Bridgeport
60608,East Pilsen
60608,Heart of Chicago
60608,Lower West Side
60608,Pilsen
60608,Near West Side
60608,Douglas Park
60608,Little Village
60608,Marshall Square
60608,South Lawndale
60609,Armour Square
60609,Wentworth Gardens
60609,Bronzeville
60609,Dearborn Homes
60609,Fuller Park
60609,McKinley Park
60609,Back of the Yards
60609,Canaryville
60609,New City
60610,Park West
60610,River North
60611,Cabrini–Green
60611,Gold Coast
60611,Goose Island
60611,Magnificent Mile
60611,Near North Side
60611,Old Town
60611,Streeterville
60611,Near East Side
60612,East Garfield Park
60612,Tri-Taylor
60612,East Village
60612,River West
60613,West Lakeview
60613,North Center
60613,Buena Park
60613,Clarendon Park
60613,Margate Park
60613,New Chinatown
60613,Sheridan Park
60613,Uptown
60614,North Halsted
60614,Wrigleyville
60614,Lincoln Park
60614,Old Town Triangle
60614,Bucktown
60615,Grand Boulevard
60615,Hyde Park
60615,Kenwood
60615,Washington Park
60616,Lake Meadows
60616,Prairie Shores
60616,Prairie Avenue Historic District
60617,Avalon Park
60617,Marynook
60617,Calumet Heights
60617,South Deering
60618,Avondale
60618,Jackowo
60618,Wac?awowo
60618,Polish Village
60618,Old Irving Park
60618,Kosciuszko Park
60618,Roscoe Village
60619,Stony Island Park
60619,Burnside
60619,Pill Hill
60619,Fernwood
60619,Kensington
60619,Roseland
60620,Auburn Gresham
60620,Gresham
60620,Beverly
60620,East Beverly
60620,West Beverly
60620,Chatham
60620,East Chatham
60620,West Chatham
60620,Park Manor
60620,Lilydale
60620,Princeton Park
60620,Brainerd
60622,West Humboldt Park
60622,Humboldt Park
60622,Logan Square
60622,Noble Square
60622,Pulaski Park
60623,Homan Square
60624,Fifth City
60624,K-Town
60624,North Lawndale
60624,West Garfield Park
60625,Albany Park
60625,Ravenswood Manor
60625,Ravenswood Gardens
60625,Hollywood Park
60625,North Park
60625,River's Edge
60626,Loyola
60626,Polish Downtown
60628,West Chesterfield
60628,Portage Park
60628,Cottage Grove Heights
60628,Pullman
60628,Altgeld Gardens
60628,Eden Green
60628,Golden Gate
60628,Riverdale
60628,Rosemoor
60628,Longwood Manor
60628,West Pullman
60629,Chicago Lawn
60629,Garfield Ridge
60629,West Elsdon
60629,Ford City
60629,West Lawn
60630,Mayfair
60630,North Mayfair
60630,Edgebrook
60630,Forest Glen
60630,Old Edgebrook
60630,Sauganash
60630,South Edgebrook
60630,Wildwood
60630,Merchant Park
60630,Gladstone Park
60631,Edison Park
60631,Greater Grand Crossing
60631,Big Oaks
60631,Norwood Park East
60631,Norwood Park West
60631,Old Norwood
60631,Oriole Park
60631,Union Ridge
60632,Archer Heights
60632,Brighton Park
60632,Gage Park
60632,Sleepy Hollow
60632,Vittum Park
60633,Hegewisch
60634,Belmont Central
60634,Brickyard
60634,Cragin
60634,Hanson Park
60634,Belmont Heights
60634,Dunning
60634,Montclare
60635,Belmont Terrace
60636,Lithuanian Plaza
60636,Marquette Park
60636,Englewood
60636,Hamilton Park
60636,West Englewood
60637,Grand Crossing
60637,East Hyde Park
60637,West Woodlawn
60637,Woodlawn
60638,Chrysler Village
60638,Clearing East
60638,Clearing West
60638,LeClaire Courts
60639,Kelvyn Park
60639,Palmer Square
60640,Bowmanville
60640,Budlong Woods
60640,Ravenswood
60641,Belmont Gardens
60641,Avondale Gardens
60641,Irving Park
60641,Kilbourn Park
60641,The Villa
60642,Ranch Triangle
60642,Sheffield Neighbors
60642,West DePaul
60642,Wrightwood Neighbors
60642,Smith Park
60643,Beverly Woods
60643,Kennedy Park
60643,Washington Heights
60644,Galewood
60644,The Island
60644,North Austin
60644,South Austin
60645,Rogers Park
60645,Nortown
60645,Peterson Park
60645,Rosehill
60645,West Ridge
60645,West Rogers Park
60646,Jefferson Park
60647,Hermosa
60647,Ukrainian Village
60649,Jackson Park Highlands
60649,South Shore
60651,West Town
60652,Ashburn
60652,Ashburn Estates
60652,Beverly View
60652,Crestline
60652,Parkview
60652,Scottsdale
60652,Wrightwood
60653,The Gap
60653,Groveland Park
60653,South Commons
60653,Stateway Gardens
60653,Legends South (Robert Taylor Homes)
60653,North Kenwood
60653,Oakland
60654,Wicker Park
60655,Morgan Park
60655,West Morgan Park
60655,Mount Greenwood
60655,Talley's Corner
60657,Boystown
60657,Graceland West
60657,Lake View
60657,Lake View East
60657,South East Ravenswood
60657,Sheridan Station Corridor
60657,Saint Ben's
60659,Lincoln Square
60660,Andersonville
60660,Edgewater
60660,Edgewater Beach
60660,Edgewater Glen
60660,Lakewood / Balmoral
60661,West Loop
60666,O'Hare
60666,Schorsch Forest View
60707,Irving Woods
60707,Schorsch Village
